periode_data,tanggal,ruas_jalan,kecepatan,hari
202303,3/17/2023,jalan kyai caringin,33.41,Jumat
202303,3/17/2023,jalan tomang raya,22.75,Jumat
202303,3/17/2023,jalan jenderal s. parman mulai dari simpang jalan tomang raya sampai dengan jalan gatot subroto,31.53,Jumat
202303,3/17/2023,jalan gatot subroto,23.1,Jumat
202303,3/17/2023,jalan m.t. haryono,37.21,Jumat
202303,3/17/2023,jalan h.r. rasuna said,30.39,Jumat
202303,3/17/2023,jalan d.i. panjaitan,29.81,Jumat
202303,3/17/2023,jalan jenderal a. yani mulai dari simpang jalan bekasi timur raya sampai dengan simpang jalan perintis kemerdekaan,27.92,Jumat
202303,3/17/2023,jalan pramuka,25.18,Jumat
202303,3/17/2023,jalan salemba raya sisi barat dan jalan salemba raya sisi timur mulai dari simpang jalan paseban raya sampai dengan simpang jalan diponegoro,31.09,Jumat
202303,3/17/2023,jalan kramat raya,33.95,Jumat
202303,3/17/2023,jalan st. senen,40.66,Jumat
202303,3/17/2023,jalan gunung sahari,25.76,Jumat
202303,3/18/2023,jalan pintu besar selatan,14.94,Sabtu
202303,3/18/2023,jalan gajah mada,13.42,Sabtu
202303,3/18/2023,jalan hayam wuruk,16.45,Sabtu
202303,3/18/2023,jalan majapahit,27.94,Sabtu
202303,3/18/2023,jalan medan merdeka barat,31.34,Sabtu
202303,3/18/2023,jalan m.h. thamrin,29.42,Sabtu
202303,3/18/2023,jalan jenderal sudirman,33.64,Sabtu
202303,3/18/2023,jalan sisingamangaraja,35.06,Sabtu
202303,3/18/2023,jalan panglima polim,24.47,Sabtu
202303,3/18/2023,jalan fatmawati mulai dari simpang jalan ketimun 1 sampai dengan simpang jalan tb simatupang,22.51,Sabtu
202303,3/18/2023,jalan suryopranoto,27.64,Sabtu
202303,3/18/2023,jalan balikpapan,40.39,Sabtu
202303,3/18/2023,jalan kyai caringin,31.47,Sabtu
202303,3/18/2023,jalan tomang raya,22.47,Sabtu
202303,3/18/2023,jalan jenderal s. parman mulai dari simpang jalan tomang raya sampai dengan jalan gatot subroto,32.4,Sabtu
202303,3/18/2023,jalan gatot subroto,27.94,Sabtu
202303,3/18/2023,jalan m.t. haryono,39.71,Sabtu
202303,3/18/2023,jalan h.r. rasuna said,33.72,Sabtu
202303,3/18/2023,jalan d.i. panjaitan,29.57,Sabtu
202303,3/18/2023,jalan jenderal a. yani mulai dari simpang jalan bekasi timur raya sampai dengan simpang jalan perintis kemerdekaan,28.35,Sabtu
202303,3/18/2023,jalan pramuka,25.28,Sabtu
202303,3/18/2023,jalan salemba raya sisi barat dan jalan salemba raya sisi timur mulai dari simpang jalan paseban raya sampai dengan simpang jalan diponegoro,34.66,Sabtu
202303,3/18/2023,jalan kramat raya,35.98,Sabtu
202303,3/18/2023,jalan st. senen,40.67,Sabtu
202303,3/18/2023,jalan gunung sahari,24.13,Sabtu
202303,3/19/2023,jalan pintu besar selatan,17.31,Minggu
202303,3/19/2023,jalan gajah mada,17.53,Minggu
202303,3/19/2023,jalan hayam wuruk,17.08,Minggu
202303,3/19/2023,jalan majapahit,29.1,Minggu
202303,3/19/2023,jalan medan merdeka barat,29.88,Minggu
202303,3/19/2023,jalan m.h. thamrin,27.67,Minggu
202303,3/19/2023,jalan jenderal sudirman,34.83,Minggu
202303,3/19/2023,jalan sisingamangaraja,33.98,Minggu
202303,3/19/2023,jalan panglima polim,26.27,Minggu
202303,3/19/2023,jalan fatmawati mulai dari simpang jalan ketimun 1 sampai dengan simpang jalan tb simatupang,24.37,Minggu
202303,3/19/2023,jalan suryopranoto,27.98,Minggu
202303,3/19/2023,jalan balikpapan,43.65,Minggu
202303,3/19/2023,jalan kyai caringin,33.43,Minggu
202303,3/19/2023,jalan tomang raya,27.13,Minggu
202303,3/19/2023,jalan jenderal s. parman mulai dari simpang jalan tomang raya sampai dengan jalan gatot subroto,33.36,Minggu
